Address,Latitude,Longitude
FRONTIER AVE AT 55TH STREET,43.08218,-79.00106
"5895 ENTERPRISE PARKWAY,",43.05235,-76.05921
Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153
"MT.PLEASANT HS, 1121 FOREST RD.",42.79901,-73.9389
"324 MINNIGAN LANE, TAYLORSVILLE",35.903611,-81.184167
1572 Highway 306 South,35.365833,-76.772778
HIGHWAY 421 NORTH,34.268403,-77.956529
3801 SPRING FOREST RD.,35.856111,-78.574167
20TH AND RACE STREETS,39.957335,-75.172679
ROCK GARDENS CLEVELAND ST.,35.775,-83.965833
RANKIN RD. & JOULE ST.,35.768056,-83.976667
CHARLESTON BOWATERS SOUTH(B-2) WORTH ST.,35.283164,-84.759371
CALHOUN BOWATERS NORTH(B-1) LAMOUNTVILLE,35.29733,-84.75076
CUB RUN LEE RD CHANT.(CUBRUN TREAT PLANT,38.8941,-77.4652
6507 COLUMBIA PIKE,38.83738,-77.16338
LEWINSVILLE 1437 BALLS HILL RD,38.9326,-77.19822
SHENANDOAH NP BIG MEADOWS,38.5231,-78.43471
OLYMPIC NATIONAL PARK,48.097313,-123.426853
CENTRO COMUNAL BARRIO TIBURONES,18.436764,-66.58002
FORT BUCHANAN FM 33 GUAYNABO,18.413702,-66.132239
REGIONAL JAIL OF BAYAMON,18.417315,-66.150293
11 FINAL STREET LAS VEGAS CATANO,18.431208,-66.141683
SAN FERNANDO ST. LA PUNTILLA CATANO,18.442724,-66.115722
ESTA LOCALIZADA EN EL ESTACIONAMIENTO AL SUR DE LA COMANDANCIA,17.967638,-66.187471
"13891 CAJEME, LA MESA",32.498392,-116.977523
"3 BLKS E BLVD BENITO JUAREZ, ROSARITO",32.343396,-117.05558
"UABC, CALZADA BENITO JUAREZ, MEXICALI",32.629225,-115.447769
TVA COLBERT 14___3.98 MI SE COLBERT FP,34.690647,-87.821422
TVA WIDOWS CRK 11 2.0 MI ESE WIDOWS CRK,34.877025,-85.720805
6701 INTERNATIONAL BLVD,37.760229,-122.193578
1098 POMONA STREET,38.031221,-122.132877
1005 W. WELDON AVENUE,36.767168,-119.828481
MOBILE,36.803009,-119.770148
"1300 GUADALUPE RD., NIPOMO, CA., 93444",35.02083,-120.56388
"5402 PACKERS AVE,",39.720451,-94.872693
GLOVER SOUTH TINDELL,37.466894,-90.685264
HOGAN MOUNTAIN,37.512603,-90.716246
"MARK TWAIN STATE PARK: 20057 State Park Office Road, Stoutville, MO 65283",39.474976,-91.788991
"SOUTH BROADWAY: 8227 South Broadway, St. Louis, MO 63111",38.542551,-90.263711
"MARGARETTA: 4520 Margaretta, St. Louis, MO 63115",38.673221,-90.239166
"8150 Hardscrabble Road,  WESTFIELD",42.29071,-79.58961
"Wilmington, BASE WHITEFACE MTN, ASRC, SUNY",44.39308,-73.8589
"ROUTE 86&30, PAUL SMITH'S COLLEGE",44.43426,-74.24593
PISECO LAKE AIRPORT,43.44957,-74.51625
"278 Bisby Road, NICKS LAKE CAMPGROUND",43.68578,-74.98538
NYSDEC FIELD HQTRS Mt Ninham,41.45589,-73.70977
"194 SHAVER POND ROAD, Grafton Lakes State Park",42.78189,-73.46363
"BELLEAYRE MOUNTAIN Cross Country Ski Area, Ulster and Delaware Tpk",42.14403,-74.49431
ROUND MOUNTAIN TOWER ROAD [Long Creek],34.805261,-83.2377
8311 PARKLANE ROAD [Parklane],34.093959,-80.962304
1850 SOUTH CEDAR CREEK ROAD [Congaree Bluff],33.81468,-80.781135
TVA JOF 13 2.03 N 36 E JOF PLANT,36.052004,-87.965032
WATER STREET,42.930521,-72.272332
"SANDERS ASSOCIATES, PARKING LOT D",42.702034,-71.444509
STORRS STREET,43.207025,-71.533683
"PEMBROKE HILL, BRICKETT HILL ROAD",43.177304,-71.462014
"ROCKEFELLER LIBRARY, PROSPECT STREET.",41.825556,-71.405278
76 DORRANCE STREET.,41.823711,-71.411168
"FAIRFIELD, PFD, 5229 COURT B",33.485556,-86.915
"7823 BLACKFOOT WAY, NORTH HIGHLANDS",38.71209,-121.38109
"HS & P FACILITY-500 M SW, LOMPOC",34.725352,-120.428717
12700 SACRAMENTO,41.662109,-87.696467
DIVISION ST. SOUTH OF SEWAGE TREAT. PT.- PSI/Duke Energy- Gibson Network/ Mt. Carmel,38.397789,-87.773853
1/2 MILE SOUTH OF S.R.-1,38.369498,-87.834466
0.2 MILE N OF BALD KNOB RD AT WLKY TOWER- PSI/Duke Energy- Gallagher Network / Bald Knob,38.367967,-85.832955
FALLING RUN,38.273511,-85.836412
"N. OF SR 234, E. OF WABASH RIVER/ PSI/Duke Energy- Cayuga Network / Silver Island",39.9642,-87.421398
E-SE OF PLANT- PSI/ Duke Energy-  Gibson Network / Gibson Tower,38.361443,-87.748631
GIBSON COAL ROAD- PSI/ Duke Energy-  Gibson Network/ E. Mt. Carmel,38.392991,-87.748323
1587 EAST ARDA LANE/ IPL-Ratts Station/ Arda Lane,38.518935,-87.248598
SR 154,39.099486,-87.470577
 0.6 MI N OF FT HARRISON RD- PSI/ Duke Energy- Wabash River Network/ Haythorne,39.514761,-87.407787
SCHOOL KITCHEN 1321 SOUTH 9TH STREET/ RPL- Richmond/ Kitchen Site,39.812256,-84.889927
NATIONAL GUARD BUILDING  2401 BOSTON PIK,39.795867,-84.880759
"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",38.06503,-84.49761
"BASKETT FIRE DEPARTMENT, 7492 DR. HODGE ROAD",37.8712,-87.46375
"JACKSON PURCHASE RECC, 2901 POWELL STREET",37.05822,-88.57251
5296 Southwest Rd.,32.509959,-92.046196
COUNTY ROAD 414,45.796634,-87.089581
WHALEY PK 3610 IOWA (FLINT),43.047224,-83.670159
"LAKEVILLE MS, G11107 WASHBURN RD (OTISVILLE)",43.168336,-83.461541
1179 MONROE  (GRAND RAPIDS),42.984173,-85.671339
29900 HOOVER (WARREN),42.51334,-83.005971
1769 S JEFFS RD (HOUGHTON LAKE),44.310555,-84.891865
2525 DOVE RD (PORT HURON),42.953336,-82.456229
11600 EAST SEVEN MILE RD (DETROIT-E7M),42.43084,-83.000138
"Sunset Hills: 4580 South Lindbergh & Gravios, Sunset Hills, MO 63126",38.53278,-90.38243
305 WEIDMAN ROAD (QUEENY),38.61366,-90.495941
"LADUE: 73 Hunter Avenue, Ladue, MO 63105",38.650329,-90.350313
3400 PERSHALL ROAD,38.766158,-90.285934
"9630 ST CHAS ROCK RD, BREKENRIDGE 63314",38.720965,-90.367132
57 DIVISION STREET,40.82799,-73.05754
"520 Orchard Ave, Avalon, PA 15202 (Avalon)",40.499767,-80.071337
GLADSTONE HIGH SCHOOL,40.41368,-79.941162
"2743 Washington Blvd, McKeesport, PA 15133 (Liberty)",40.323768,-79.868062
"3640 Old Oakdale Rd, McDonald, PA 15057 (South Fayette)",40.375644,-80.169943
"405 WHEELER AVE, MCKEES ROCKS, PA 15132",40.47368,-80.077
EXTENSION TO WALL STREET IN GLASSPORT,40.318126,-79.880882
MEEK'S PROPERTY,36.520298,-87.3955
CUMBERLAND HEIGHTS ELEMENTARY SCHOOL,36.505185,-87.397708
COPPER BASIN HOSP.,35.02619,-84.384646
SOUTH HIGHLAND ST AT OCOEE_RIVER,34.988413,-84.37159
EASTMAN ROSS N.ROBINSON,36.534804,-82.517078
EASTMAN MEADOW VIEW,36.513971,-82.560968
FOLLANSBEE - MAHAN LANE,40.341023,-80.596635
HUNTINGTON - MARSHALL UNIVERSITY,38.424133,-82.4259
NEW MANCHESTER - NEW MANCHESTER ELEM SCHOOL,40.529021,-80.576067
"NEW CUMBERLAND - R D #1, CROTHERS ROAD",40.460138,-80.576567
"CHESTER - ALLISON ELEMENTARY SCHOOL, 647 RAILROAD STREET",40.61572,-80.56
LAWRENCEVILLE - COMMUNITY PARK AND TYRONE ROAD,40.618353,-80.540616
CHARLESTON - 209 MORRIS STREET,38.3456,-81.628317
"MOUNDSVILLE - NG ARMORY, 1501 NINTH STREET",39.915961,-80.733858
MORGANTOWN - AIRPORT US 119&AIRPORT BLVD.,39.649367,-79.920867
"WVU LAW SCHOOL, MORGANTOWN",39.648414,-79.957563
NORTHERN PANHANDLE REGIONAL OFFICE,40.120502,-80.699067
CENTENNIAL DRIVE KENOVA WVA,38.391942,-82.583804
VIENNA - NEALE ELEM SCHOOL,39.323533,-81.552367
"RHINELANDER WATER TOWER, Morrill St",45.6451,-89.41848
"TROUT LAKE NURSERY, 10810 COUNTY HWY M",46.0519,-89.654
WILSON DAM RD AND 2ND ST.,34.762619,-87.638097
9494 EXPERIMENTAL LOOP,34.685702,-86.88081
4030 LINDEN STREET,33.399135,-110.858896
"JAIL-CANYON DR, HAYDEN",33.006179,-110.785797
1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,33.45797,-112.04659
2857 N MILLER RD-S SCOTTSDALE STN,33.47968,-111.91721
"DOUGLAS & 1ST, SAN MANUEL",32.598611,-110.633611
PIKE AVE AT RIVER ROAD,34.756189,-92.281296
"UNION MEMORIAL HOSPITAL, ELDORADO",33.220563,-92.672263
2956-A TREAT BOULEVARD,37.936013,-122.026154
"1065 7TH ST., RICHMOND",37.948172,-122.364852
"KENDALL AVE,Crockett",38.05492,-122.233229
5551 BETHEL ISLAND RD,38.006311,-121.641918
"1865 D RUMRILL BLVD, San Pablo",37.9604,-122.356811
"521 JONES ST, Martinez",38.012816,-122.134467
"583 W. 10TH ST., PITTSBURG",38.029258,-121.896866
"DEL PASO-2701 AVALON DR, SACRAMENTO",38.613779,-121.368014
10 ARKANSAS ST.,37.765946,-122.399044
"EL CAPITAN ST PRK, HWY 10",34.46245,-120.02551
"UCSB WEST CAMPUS-ARCO TANK, ISLA VISTA",34.414942,-119.879511
LFC #1-LAS FLORES CANYON,34.48974,-120.04692
"380 N FAIRVIEW AVENUE, GOLETA",34.44551,-119.8284
"STS POWER PLANT, VANDENBERG AFB",34.5959,-120.631315
304 TUOLUMNE ST.,38.102507,-122.237976
3174 E. 78TH AVE.,39.838119,-104.94984
2105 BROADWAY,39.751184,-104.987625
115 BOSTON TERRACE,41.195076,-73.163447
"White St at 8th Ave, parking garage roof",41.399167,-73.443056
HILLANDALE AVENUE,41.063153,-73.528456
SHERWOOD ISLAND STATE PARK,41.118333,-73.336667
85 HIGH STREET,41.7425,-72.634444
715 STATE STREET,41.310833,-72.916944
Bank St at Meadow St (see coordinates),41.550556,-73.043611
LINCOLN PARK ELEMENTARY SCH. (NW CORNER),26.128611,-80.167222
"2900 Bennett Street, Jacksonville, FL 32206",30.356339,-81.635396
"1605 MINERVA Ave JACKSONVILLE, FL. 32207",30.309119,-81.652341
1840 CEDAR BAY RD,30.422448,-81.620951
"6241 FORT CAROLINE ROAD, JACKSONVILLE",30.367461,-81.593983
ELLYSON INDUSTRIAL PARK-COPTER ROAD,30.525367,-87.20355
"11000 UNIVERSITY PARKWAY, UNIV OF W. FLA",30.544917,-87.216082
"Southeast CR 137, White Springs, FL 32096",30.42659,-82.794715
BALLAST POINT PARK INTERBAY BLVD.,27.88669,-82.481206
2401 19th Avenue Northwest,27.740033,-82.465146
5012 CAUSEWAY BLVD TAMPA FLORIDA,27.922801,-82.401205
"9849 South Highway 41, Tampa, FL 33534",27.854176,-82.383728
"155 Columbia Dr, Tampa FL 33606",27.928356,-82.454539
"ONE RAIDER PLACE PLANT CITY,FL",27.9928,-82.125642
"1801 Piney Point Rd., Palmetto, FL 34221",27.633089,-82.54593
"14001-14027 N Okeechobee Rd, Hialeah, FL 33018",25.899539,-80.38259
"1007 S 5th St, Fernandina Beach, FL 32304",30.658552,-81.463168
"213 S. Denning Ave, Winter Park, FL 32789",28.596389,-81.3625
10100 SAN MARTIN ROAD ST PETERSBURG FL.,27.863635,-82.623153
 11500 43RD AVE NORTH PINELLAS PARK,27.87169,-82.691489
"2200 East Lake Rd, Palm Harbor, FL 34865",28.090299,-82.700707
40671 US 19 NORTH,28.141667,-82.739722
ANDERSON AND PINECREST RD,27.856418,-82.017633
"NW 4TH CIRCLE - MULBERRY, POLK CO.",27.897248,-81.960084
"188 Comfort Rd., Palatka, FL 32177",29.687748,-81.656509
"4570 17th Street, Sarasota, FL 34232",27.350278,-82.479722
"Hawaii Volcanoes National Park, HI 96718",19.4308,-155.2578
2052 LAUWILIWILI ST,21.323745,-158.088613
KO'OLINA GOLF COURSE,21.332743,-158.11413
"1250 PUNCHBOWL ST, HONOLULU",21.30758,-157.85542
"92-670 FARRINGTON HWY, EWA BEACH",21.34434,-158.110587
STP/BATISTE & CHUBBUCK RD,42.916389,-112.515833
5 MILE ROAD,42.695198,-111.594669
2230 GREEN VALLEY ROAD/GREEN VALLEY ELEMENTARY SCHOOL,38.30703,-85.832974
"CENTER STREET, WHEATFIELD/ NIPSCO- Wheatfield",41.187854,-87.053571
"201 MISSISSIPPI ST., IITRI BUNKER",41.606662,-87.304943
490 W. Michigan Blvd. Michigan City- W. Michigan Blvd.,41.717762,-86.907786
8327 MANN ROAD,39.6463,-86.248773
1321 SOUTH HARDING,39.749027,-86.186269
"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",39.789483,-86.060833
OLD BRUSHY FORK RD.,37.99424,-86.763445
"WAUPACA FOUNDRY, INC. PLANT 5, SR 66",37.983883,-86.77219
DUNE ACRES SUBSTATION- NIPSCO Dunes Acres,41.634104,-87.101452
425 WEST MILL ROAD/ FIRE STATION #17,38.021727,-87.569458
Terre Haute- Lafayette Ave.   961 N. LAFAYETTE AVE.,39.485987,-87.401312
200 YARDS S. OF S650 & 1/4 M E. OF W400- ALCOA P2,37.937561,-87.314173
NEAR SOUTH 675 BETWEEN W. 550 & W. 475,37.938101,-87.345839
17TH ST. & WASHINGTON ST.,43.16944,-93.202426
23RD & CAMANCHE,41.823283,-90.211982
FLETCHER ST. & KIMBLE ST.,41.419429,-91.070975
2200 STEWARD ROAD,41.387969,-91.054504
OREGON ST. & EARL AVE.,41.4069,-91.0616
10TH ST. & VINE ST. DAVENPORT,41.530011,-90.587611
LAKE SUGEMA STATE PARK,40.689196,-91.994618
UNION & E. NORTH /NE CORNER INTERSECTION,37.047022,-95.613588
"CEDAR BLUFF RESERVOIR,PRONGHORN & MULEY",38.770081,-99.763424
"1210 N. 10TH ST.,JFK RECREATION CENTER",39.117219,-94.635605
"7201 WATSON LN, WATSON LN ELEMENTARY SCH",38.06091,-85.89804
4201 ALGONQUIN PKWY,38.23158,-85.82678
RICHARDSON ROAD EASTON,46.660782,-67.900175
"26 MARGINAL WAY, PORTLAND",43.662372,-70.264929
8515 JENKINS RD   RIVIERA BEACH   MD,39.158911,-76.511025
600 Dorsey Avenue,39.310833,-76.474444
LIBERTY STREET,42.108992,-72.590803
"LONG ISLAND, BOSTON HARBOR",42.316394,-70.967773
"DEWAR STREET, DORCHESTER",42.309417,-71.055573
"340 BREMEN STREET, EAST BOSTON",42.377833,-71.027138
531A EAST FIRST STREET,42.340251,-71.03835
HARRISON AVE,42.3295,-71.0826
"CENTRAL STREET FIRE STATION, CENTRAL ST.",42.267315,-71.798405
11397 HELEN RICHARDS DR,30.447003,-89.029175
Court and Farrish Streets,32.296952,-90.188394
Hospital Road at Co. Health Dept.,30.378287,-88.53393
"SOUTH CHARLESTON: 5012 S. Charleston,  Springfield, MO 65804",37.12263,-93.263353
"MISSOURI STATE UNIVERSITY (MSU): Springfield, MO 65806",37.199541,-93.284874
"JAMES RIVER-SOUTH: Springfield, MO, 12435 (See coordinates for location)",37.104461,-93.253337
"WILDWOOD LANE: 1234 Wildwood Lane, Springfield, MO 65802",37.108959,-93.25297
"WISDOM LANE: 1420 EAST WISDOM LANE SPRINGFIELD MO, 65802",37.108681,-93.272415
"TROOST: 724 Troost (Rear), Kansas City, MO 64106",39.104686,-94.57079
"HERC J-CREEK, 695 JOACHIM",38.26427,-90.384247
.5 MILES NORTH OF INTERSTATE 90,45.754441,-107.596977
"BLAQTC - LAUREL, 1/2 MI E OF CENEX",45.656338,-108.766532
"BLAQTC - LOCKWOOD PARK, OLD HARDIN ROAD",45.801897,-108.4268
"BLAQTC-BRICKYARD LANE,1430 LOCKWOOD ROAD",45.803842,-108.446245
"YELP - JOHNSON LANE, 627 JOHNSON LANE, BILLINGS",45.809953,-108.413744
"YELP - PINE HILLS, 4250 PINE HILLS DRIVE",45.832732,-108.378465
PEARL ST,42.995778,-71.462528
PLEASANT STREET,43.13246,-71.458246
"PORTSMOUTH, PEIRCE ISLAND",43.075371,-70.748017
"PORTSMOUTH, PORT AUTHORITY",43.082588,-70.761442
133 RIVER STREET,40.882373,-74.042172
1 EAST BROAD STREET,40.078062,-74.857717
COPEWOOD E. DAVIS STS; TRAILER,39.923042,-75.097617
301 Spring Garden Road,39.68425,-74.861491
Behind 4401 S. Main Road,39.422273,-75.025204
"LEXINGTON & E. FERRY STS., NEWARK",40.722222,-74.146944
"Shady Lane Complex, 256 County House Road",39.800339,-75.212119
"Veterans Park, Park Road at end of W. 25th St.",40.67025,-74.126081
2828 John F. Kennedy Boulevard,40.731645,-74.066308
130 Smith Street,40.508764,-74.268083
"Department of Public Works Bldg. #1, 50 North Road",40.787628,-74.676301
7 Broad Street,40.662435,-74.214854
NJ Turnpike Interchange 13 Toll Plaza,40.64144,-74.208365
"7048 McNutt, La Union, NM",31.930659,-106.631103
SUNLAND PARK CITY YARD,31.79594,-106.558044
"1600 N.13TH ST ARTESIA, N.M. 88210",32.855668,-104.411908
"CHINO BLVD NR HURLEY PARK, HURLEY,NM",32.692022,-108.125042
"1300 W.NAVAJO, FARMINGTON, NM",36.735835,-108.238964
"2200 N 1st Street, Bloomfield, NM",36.742227,-107.977567
"Shiprock Electrical Substation, Waterflow, NM",36.796667,-108.473138
1130 EASTWAY DRIVE,35.2401,-80.785683
13881 I94 EAST,46.8943,-103.37853
9486 SHORT CREEK DAM ROAD,48.9904,-102.7815
"8315 HIGHWAY 8, KENMARE",48.64193,-102.4018
4266 40TH AVE NORTH,46.933754,-96.85535
9610 SEVENTH STREET SW,47.3132,-102.5273
"229 SERVICE RD., WATFORD CITY",47.5812,-103.2995
BEARPAW - MGP #3,47.575295,-103.969373
BEARPAW MGP #5,47.605573,-104.017708
WHITE SHIELD,47.606672,-102.036837
6024 HIGHWAY 200,47.298611,-101.766944
DGC #12,47.325006,-101.76628
DGC #14,47.371672,-101.78128
DGC #16,47.38573,-101.863365
DGC #17,47.400624,-101.929099
1400 16TH AVE. NW,46.84175,-100.870059
2130 SIOUX STREET NORTH,46.873075,-100.905039
1575 HIGHWAY 31,47.185833,-101.428056
AMERADA HESS #1,48.408856,-102.90811
AMERADA HESS #3,48.392666,-102.910693
SCHULER AND BENDER,39.383382,-84.544413
HOOK FIELD AIRPORT,39.528439,-84.3942
3079 ANGEL DR.,38.961339,-84.094383
2547 ST TIKHON,41.477011,-81.682383
4950 BROADWAY AVE.,41.471782,-81.656792
4600 HARVARD AVE.,41.446624,-81.662356
CLEVELAND HEALTH MUSEUM 8911 EUCLID,41.504288,-81.62438
KORBEL AVE.,40.002707,-82.994424
6950 RIPPLE RD.,39.21487,-84.69086
MULBERRY AVE.,39.03769,-82.04508
515 25TH. ST.,40.82812,-81.3785
314 WEST CLEVELAND,36.704761,-97.087656
"3500 PORT PLACE  MUSKOGEE, OK 74403",35.793134,-95.302235
N.W. EXPRESSWAY AND BROOKSIDE DR.,35.553112,-97.623931
104 GILCREASE RD,36.161745,-96.015784
1710 WEST CHARLES PAGE BOULEVARD,36.149877,-96.011664
1105 SE FIR ST,44.612522,-123.928405
1501 E. LYCOMING AVE.,40.008889,-75.09778
"AMTRAK, 5917 ELMWOOD AVENUE",39.927613,-75.222403
5795 SEVEN PINES ROAD [Barnwell],33.320344,-81.465537
4830 JENKINS AVE. [Jenkins Av.],32.882289,-79.977538
390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],32.941023,-79.657187
1369 DOCK STREET [Georgetown],33.362014,-79.294251
91 WAKEFIELD STREET/ 110 THRUSTON STREET [Greenville Health Department],34.838814,-82.402918
200 LEISURE LANE [IRMO],34.051017,-81.15495
BARKSDALE STREET [Boyer/ Holly Hill],33.29959,-80.442218
3594 HARDEN STREET EXT. [DHEC],34.024497,-81.036248
TVA BULL RUN 26__0.5 MI NE BULL RUN FP,36.027857,-84.151307
1741 HILLVILLE LOOP ROAD,35.46872,-89.171082
8401 HIGHWAY 60,35.289379,-84.946111
"4575 W HIGHWAY 21, HORNBEAK, TN",36.345181,-89.319208
3065 FITE RD,35.27346,-89.961217
TVA ALLEN 10_____1.26 MI ENE ALLEN FP,35.087314,-90.133704
"125 W. CENTER STREET, LOGAN, UT",41.731111,-111.8375
65W 300S BOUNTIFUL UTAH,40.886389,-111.882222
"171 WEST 1370 NORTH, BOUNTIFUL, UTAH",40.902967,-111.884467
1795 N WARM SPRINGS RD (1025 W) SLC UTAH,40.8075,-111.921111
"2935 SOUTH 8560 WEST MAGNA,UTAH",40.708611,-112.094722
"12100 W 1200 S, LAKEPOINT, UTAH",40.736389,-112.210278
"96 STATE STREET, Rutland, Vermont",43.608056,-72.982778
700 SHELL ROAD,37.000983,-76.398633
4103 BEACON HILL S,47.568236,-122.308628
CASINO DRIVE/NORTH END SITE,48.459928,-122.520388
SPRING BROOK DRIVE,38.39036,-82.585714
ROUTE 52 (ONE MILE SOUTH OF I-64),38.38036,-82.58377
BIG SANDY ROAD,38.372304,-82.58877
WEST GATE MARTIN MARIETTA ALUMINA,17.704974,-64.780146
"ESTATE ANGUILLA, THE RUINS",17.717197,-64.77459
"PLOT 25, ESTATE CLIFTON HILL",17.72053,-64.776257
PLOT 487 ESTATE BARREN SPOT,17.732473,-64.782923
PLOT 214 ESTATE RUBY,17.739696,-64.751533
732 HAMPSHIRE,39.93301,-91.404237
103RD AND LUELLA,41.70757,-87.568574
321 S. FRANKLIN,41.877682,-87.635027
"7800 W. 65TH ST, BEDFORD PARK",41.773921,-87.815334
729 HOUSTON,41.66812,-87.99057
1820 S. 51ST AVE.,41.855243,-87.75247
2200 N. 22ND,39.866834,-88.925594
HEATON & DUBOIS,39.396075,-89.809739
MISSOURI AVENUE,38.827665,-90.058116
54 N. WALCOTT,38.860669,-90.105851
1710 VAUGHN RD,38.865984,-90.070571
HURLBURT & MACARTHUR,40.68742,-89.606943
HICKORY GROVE & FALLVIEW,38.176278,-89.788459
13TH & TUDOR,38.612034,-90.160477
3300 MECHANICSBURG RD.,39.800614,-89.591225
272 DERBY,40.55646,-89.654028
RTE. 6 & YOUNG RD.,41.459963,-88.182019
1300 141 ST STREET,41.639306,-87.493609
COUNTY RD 1103 .7 MI SOUTH OF K-52,38.135882,-94.731988
"707 E 119TH ST SOUTH,PECK COMMUNITY BLDG",37.47689,-97.366399
KENMORE SQ,42.348873,-71.097163
150 WATERMAN (DETROIT-SW),42.302786,-83.10653
2451 MARQUETTE,42.357808,-83.096033
9399 Lima St,45.13768,-93.207615
HULTBERG RD & N. CLOQUET RD,46.733554,-92.419079
12821 PINE BEND TRAIL,44.76323,-93.03255
2142 120TH STREET EAST,44.77553,-93.06299
12555 Clayton Ave,44.7468,-93.02611
COUNTY RD 42,44.73857,-93.00496
528 HENNEPIN AVENUE,44.980995,-93.273719
649 FIFTH STREET,44.84737,-92.9954
28TH AND REYNOLDS,41.332775,-95.956681
1616 WHITMORE,41.322508,-95.938593
210 N. WILSON DR.,38.79471,-83.53398
2650 BIBLE RD.,40.772926,-84.052997
770 LAKE RD.,41.959695,-80.572808
EAST 40 ST.,39.96856,-80.74492
5400 SPANGLER,39.85567,-83.99773
500 MARYLAND,40.635275,-80.546642
S.R. 554,38.944246,-82.112088
227 NORTH 5TH ST.,40.362847,-80.615352
618 LOGAN ST.,40.3663,-80.6158
501 COMMERICAL,40.32207,-80.6063
36010 LAKESHORE,41.673006,-81.422455
71 E HIGH,41.72229,-81.24248
2120 S. 8TH,38.52079,-82.66641
"601 BROAD STREET, ELYRIA, OHIO",41.368103,-82.110427
NEBRASKA AVE. AND ADAMS,41.471708,-82.143483
3040 YORK ST.,41.6637,-83.4725
348 S. ERIE,41.644067,-83.54616
345 OAKHILL,41.096188,-80.658867
"451 WEST THIRD ST.,",39.758392,-84.199941
2600 ST. RT. 83,39.6317,-81.672878
4862 GALLIA,38.754599,-82.91701
100 N TUSCARAWAS,40.516453,-81.476228
527 CRESCENT DR.,40.511106,-81.638956
2443 SOUTH JACKSON AVENUE,36.126945,-95.998941
1015 TRINITY LANE,36.205055,-86.74472
2666 HERNANDO ROAD,35.043492,-90.013691
7330 1/2 North Wayside,29.828086,-95.284096
9726 1/2 Monroe,29.625556,-95.267222
9525 1/2 Clinton Dr,29.733726,-95.257593
"SHIRLEY PLANTATION, ROUTE 5",37.34438,-77.25925
